"party_id","party_size","is_callahead","section_preferences","table_status_created","table_status_seated","table_status_done"
2421,6,FALSE,"{0,0}",1472413630064,1472413630068,1472413935886
2422,4,FALSE,"{0,0}",1472414555361,1472414717790,1472415585875
2423,5,FALSE,"{0}",1472415978870,1472419775259,1472419819610
2424,8,FALSE,"{0}",1472415894017,1472419714755,1472419844022
2426,,FALSE,"{0}",1472419658557,1472419658557,1472419674431
2428,,FALSE,"{0}",1472419987253,1472419987253,1472419989482
2429,,FALSE,"{0}",1472421463111,1472421463111,1472425366550
2430,,FALSE,"{0}",1472421614747,1472421614747,1472425619697
2431,,FALSE,"{0}",1472421662918,1472421662918,1472425375614
2432,,FALSE,"{0}",1472421665887,1472421665887,1472424341287
2433,,FALSE,"{0}",1472421817393,1472421817393,1472426672229
2434,,FALSE,"{0}",1472421866331,1472421866331,1472426076545
2435,,FALSE,"{0}",1472421892915,1472421892915,1472425684882
2436,,FALSE,"{0}",1472422042506,1472422042506,1472425941930
2437,,FALSE,"{0}",1472422055042,1472422055042,1472425712335
2438,,FALSE,"{0}",1472422101143,1472422101143,1472506272194
2439,,FALSE,"{0}",1472422113660,1472422113660,1472425366182
2440,,FALSE,"{0}",1472422121248,1472422121248,1472422184456
2441,,FALSE,"{0}",1472422198531,1472422198531,1472426510831
2442,,FALSE,"{0}",1472422262150,1472422262150,1472426018200
2443,,FALSE,"{0}",1472422273972,1472422273973,1472425889896
2444,,FALSE,"{0}",1472422308434,1472422308434,1472506186961
2445,,FALSE,"{0}",1472422431228,1472422431228,1472425077025
2446,,FALSE,"{0}",1472422434886,1472422434886,1472506210141
2447,,FALSE,"{0}",1472422525215,1472422525215,1472426408892
2448,,FALSE,"{0}",1472422536538,1472422536538,1472426952573
2449,,FALSE,"{0}",1472422633390,1472422633390,1472506208374
2450,,FALSE,"{0}",1472422880212,1472422880212,1472506215876
2451,,FALSE,"{0}",1472422935061,1472422935062,1472427678177
2452,,FALSE,"{0}",1472423000733,1472423000733,1472506270528
2453,,FALSE,"{0}",1472423033207,1472423033207,1472506183773
2454,,FALSE,"{0}",1472423046724,1472423046724,1472506188543
2455,,FALSE,"{0}",1472423051605,1472423051605,1472506268861
2456,,FALSE,"{0}",1472423058175,1472423058175,1472423068539
2457,,FALSE,"{0}",1472423069063,1472423069063,1472423410993
2458,,FALSE,"{0}",1472423186311,1472423186312,1472423405193
2459,,FALSE,"{0}",1472423241397,1472423241397,1472423511029
2461,,FALSE,"{0}",1472423402624,1472423402624,1472427128860
2462,,FALSE,"{0}",1472423413275,1472423413276,1472423490912
2463,,FALSE,"{0}",1472423415963,1472423415963,1472426312485
2464,,FALSE,"{0}",1472423420030,1472423420030,1472424909828
2465,,FALSE,"{0}",1472423428297,1472423428297,1472423635498
2466,,FALSE,"{0}",1472423479627,1472423479627,1472506254929
2467,,FALSE,"{0}",1472423485428,1472423485428,1472423871569
